iter	Passed	Remaining
0	20	20283
1	33	16594
2	53	17793
3	65	16373
4	86	17191
5	106	17633
6	123	17540
7	141	17589
8	163	17965
9	183	18173
10	201	18100
11	216	17791
12	231	17547
13	242	17097
14	254	16693
15	272	16764
16	291	16855
17	308	16856
18	326	16857
19	341	16739
20	355	16564
21	368	16397
22	382	16231
23	399	16254
24	414	16182
25	427	16008
26	446	16086
27	466	16208
28	486	16284
29	501	16214
30	519	16234
31	538	16287
32	554	16252
33	574	16335
34	595	16411
35	615	16477
36	636	16578
37	653	16549
38	667	16439
39	679	16319
40	700	16387
41	718	16391
42	736	16387
43	754	16382
44	775	16457
45	793	16457
46	806	16350
47	824	16343
48	841	16338
49	859	16323
50	877	16321
51	890	16233
52	900	16094
53	913	16006
54	928	15958
55	946	15958
56	964	15953
57	982	15949
58	996	15898
59	1009	15819
60	1028	15837
61	1040	15743
62	1059	15764
63	1080	15797
64	1100	15826
65	1118	15828
66	1136	15822
67	1152	15789
68	1166	15735
69	1184	15733
70	1196	15650
71	1209	15586
72	1227	15588
73	1245	15588
74	1264	15591
75	1282	15587
76	1302	15610
77	1316	15559
78	1333	15551
79	1354	15575
80	1367	15511
81	1384	15499
82	1404	15522
83	1425	15542
84	1445	15558
85	1464	15559
86	1483	15569
87	1502	15567
88	1520	15558
89	1538	15559
90	1556	15550
91	1577	15565
92	1595	15555
93	1612	15544
94	1631	15539
95	1649	15529
96	1667	15524
97	1685	15513
98	1699	15463
99	1716	15451
100	1734	15439
101	1747	15384
102	1765	15372
103	1778	15323
104	1797	15317
105	1812	15282
106	1829	15270
107	1847	15258
108	1868	15273
109	1887	15270
110	1909	15293
111	1925	15263
112	1942	15250
113	1954	15189
114	1971	15174
115	1990	15166
116	2008	15161
117	2026	15147
118	2045	15143
119	2063	15129
120	2073	15064
121	2091	15054
122	2110	15046
123	2127	15032
124	2145	15018
125	2158	14974
126	2177	14968
127	2195	14958
128	2214	14949
129	2232	14938
130	2250	14925
131	2268	14915
132	2287	14910
133	2308	14918
134	2327	14912
135	2344	14896
136	2365	14902
137	2385	14899
138	2403	14890
139	2424	14892
140	2444	14893
141	2463	14887
142	2482	14878
143	2501	14869
144	2520	14860
145	2539	14856
146	2553	14815
147	2571	14802
148	2589	14790
149	2606	14769
150	2624	14757
151	2643	14745
152	2657	14713
153	2675	14700
154	2693	14684
155	2711	14669
156	2729	14655
157	2747	14643
158	2766	14632
159	2786	14627
160	2804	14612
161	2821	14597
162	2841	14591
163	2860	14581
164	2878	14566
165	2896	14551
166	2913	14534
167	2931	14519
168	2950	14508
169	2969	14498
170	2987	14484
171	3005	14468
172	3023	14452
173	3041	14438
174	3061	14431
175	3079	14416
176	3096	14400
177	3114	14383
178	3127	14344
179	3145	14331
180	3163	14315
181	3181	14301
182	3199	14285
183	3217	14268
184	3235	14251
185	3252	14233
186	3271	14223
187	3290	14212
188	3308	14196
189	3326	14179
190	3344	14166
191	3363	14154
192	3382	14141
193	3400	14128
194	3418	14113
195	3437	14099
196	3455	14085
197	3475	14075
198	3494	14067
199	3515	14063
200	3537	14060
201	3558	14059
202	3578	14050
203	3597	14036
204	3617	14030
205	3635	14012
206	3652	13994
207	3670	13976
208	3688	13958
